STOP_NAME,LATITUDE,LONGITUDE
만송유치원,35.1019255,128.9193076
평성회관,35.100552,128.912913
상신입구,35.100651,128.913862
평성입구,35.100905,128.9150583
조동입구,35.10115833,128.9165717
상신입구,35.10069427,128.9138636
평성회관,35.10056886,128.9128565
만송유치원,35.10176874,128.9191558
군보입구,35.10294856,128.9226285
학생안전체험관,35.10599823,128.925974
조동입구,35.10128584,128.916773
평성입구,35.10091367,128.9149663
덕포마을,35.19204831,128.9095049
강동교회,35.19276103,128.914156
상덕마을,35.19544264,128.9132638
덕도초등학교,35.19257658,128.9164159
덕계마을,35.19416924,128.9172922
덕계마을,35.19415562,128.9170935
북정마을,35.19925101,128.9159232
북정마을,35.19952707,128.9159236
중덕마을,35.21043573,128.9218719
강동교회,35.19276311,128.9140243
상덕마을,35.19541315,128.913165
덕포마을,35.19225172,128.9087737
신노전,35.13579833,128.921235
강서예술촌 황라도,35.13649895,128.9247352
군라,35.14531586,128.9282124
상납청,35.1485838,128.9281414
대저초등학교,35.15697333,128.9272183
대저초등학교,35.15716471,128.927373
월포,35.15701199,128.9383346
금호마을,35.16173918,128.9538693
금호마을,35.16322758,128.9579413
신평마을,35.18492215,128.92497
성심정미소,35.1753172,128.9232916
신평종점,35.18875571,128.9270551
입소마을회관,35.17732267,128.9229989
공항기숙사후문,35.17978239,128.9242728
신평마을회관,35.18702849,128.9259366
변덕마을,35.21484398,128.9877814
변덕초소,35.21547805,128.9862236
변덕초소,35.21550166,128.9857903
강서고교,35.21544039,128.9832028
강서고교,35.21537537,128.9833674
대저1동사무소,35.21531191,128.9805529
세산초등학교,35.143516,128.872664
우성전기,35.14618351,128.8616585
(주)태광본사,35.09113223,128.8302475
명지신도시,35.08885599,128.9024312
신호대교,35.08886737,128.900871
신호대교,35.08864551,128.8967259
명지오션시티,35.08871724,128.8967495
경찰전직지원센터,35.19134276,129.0886472
웰니스병원.연산농협,35.18883352,129.0849416
연안교,35.19277356,129.090482
경찰전직지원센터,35.19129794,129.0881539
부산은행 연서지점,35.19171636,129.0814815
